Code,Title,Previously,Availability,Credit Points
LLB254,Property Law B,,MURDOCHMURDOCH: S2-internal,3
LLB259,Constitutional Law,,MURDOCHMURDOCH: S2-internal,3
LLB260,Contract Law,,MURDOCHMURDOCH: S1-internal,6
LLB301,Internships (WIL),,"MURDOCHMURDOCH: H-placement, TS21-placement, Y-placement, YU5-placement",3
LLB302,International Sale of Goods,,Not available,3
LLB304,International Media Law,,Not available,3
LLB305,Native Title Law,,Not available,3
LLB306,International Arbitration Law,,Not available,3
LLB307,IP: Regulating Innovation and Creativity,,MURDOCHMURDOCH: SUM-internal,3
LLB308,Introduction to Legal Practice,,Not available,3
LLB309,Legal Strategy in Organisations,,Not available,3
LLB310,Competition Law,,Not available,3
LLB311,International Trade Law,,IMACERATAIMACERATA: ST3-internal (quota of 35 places),3
LLB312,Law Moot #1,2016: 'Law Moot',"MURDOCHMURDOCH: H-internal (quota of 40 places), S1-internal (quota of 40 places), S2-internal (quota of 40 places), SUM-internal (quota of 40 places), W-internal (quota of 40 places)",3
LLB314,Introduction to Mooting,2016: 'Moot Court Bench',MURDOCHMURDOCH: S2-internal (quota of 40 places),3
LLB315,Law Moot #2,2016: 'Willem C Vis International Commercial Arbitration Moot',"MURDOCHMURDOCH: H-internal (quota of 40 places), S1-internal (quota of 40 places), S2-internal (quota of 40 places), SUM-internal (quota of 40 places), W-internal (quota of 40 places)",3
