code,title
COGS1005,Introduction to Neuroscience 2
COGS1010,Delusions and Disorders of the Mind and Brain
COGS2000,Cognitive Neuroscience
COGS2010,Memory
COGS2020,Experimental Design and Data Analysis for the Cognitive and Brain Sciences
COGS2030,Hearing and Brain
COGS2040,Attention and Action
COGS2050,Reading in the Mind and Brain
COGS2250,Cognitive and Brain Sciences Laboratory
COGS3020,Computational Neuroscience
COGS3030,Human Neuroimaging
COGS3040,Space and Time in the Brain
COGS3050,Core Problems in Cognitive Science
COGS3210,Advanced Topics in Cognitive Science: Embodied Cognition and Skilled Performance
COGS3220,Advanced Topics in Cognitive Science 2
COGS3250,Advanced Research Experience and Training
COGS3999,Cognitive Science in the Real World
COGS7000,Foundations of Cognitive Science
COGS7010,Research Frontiers in Cognitive Science
COGS7020,Advanced Principles of Cognitive Science: Attention and Action
COGS7030,Advanced Principles of Cognitive Science: Sensation and Perception
COGS7040,"Advanced Principles of Cognitive Science: Memory, Self, and Cognitive Theory"
COGS7050,Advanced Principles of Cognitive Science: Language and Reading
COGS8990,Master of Research - Cognitive Science
COGX1010,Delusions and Disorders of the Mind and Brain
COMP1000,Introduction to Computer Programming
COMP1010,Fundamentals of Computer Science
COMP1050,Introduction to Software Engineering
COMP1150,Introduction to Video Games
COMP1160,Modelling and Animation
COMP1300,Introduction to Cyber Security
COMP1350,Introduction to Database Design and Management
COMP1750,Introduction to Business Information Systems
COMP1800,IT & Society
COMP1900,Computing Research I
COMP2000,Object-Oriented Programming Practices
COMP2010,Algorithms and Data Structures
COMP2050,Software Engineering
COMP2100,Systems Programming
COMP2110,Web Technology
COMP2150,Game Design
COMP2160,Game Development
COMP2200,Data Science
COMP2250,Data Communications
COMP2300,Applied Cryptography
COMP2310,Digital Forensics
COMP2320,Offensive Security
COMP2350,Database Systems
COMP2750,Applications Modelling and Development
COMP2800,IT and the Future of Society
COMP2900,Computing Research II
COMP3000,Programming Languages
COMP3010,Algorithm Theory and Design
COMP3100,Distributed Systems
COMP3120,Advanced Web Development
COMP3130,Mobile Application Development
COMP3150,Games Project A
COMP3151,Games Project B
COMP3160,Artificial Intelligence
COMP3170,Computer Graphics
COMP3180,Advanced Game Development
COMP3210,Big Data
COMP3220,Document Processing and the Semantic Web
COMP3250,Computer Networks
COMP3300,Data Privacy and Information Security
COMP3320,Cyber Security Management in Practice
COMP3760,Enterprise Systems Integration
COMP3770,Management of IT Systems and Projects
COMP3780,Technology Management
COMP3850,Computing Industry Project
COMP3860,Special Topics in Computing and Information Systems
COMP3870,Research Topic in Computing and Information Systems
